"from_team","to_team","weight","from_connections","to_connections"
270,444,12,5,2
270,465,30,13,3
270,767,10,2,5
274,699,6,2,2
274,2330,44,3,19
277,779,26,2,8
280,798,18,8,4
280,3141,62,2,9
280,5906,10,2,3
281,1765,22,10,3
282,443,16,2,5
282,2949,12,2,4
284,621,12,2,3
284,772,14,4,2
286,288,34,10,2
287,2223,8,2,2
288,655,18,3,7
288,854,24,2,9
288,948,162,3,22
288,1366,130,14,19
288,2058,28,2,8
288,2318,10,2,5
292,2494,60,2,27
292,5757,56,3,15
292,5907,60,2,15
303,1165,12,3,2
306,548,42,15,4
306,4529,28,2,7
311,342,46,18,7
311,1153,54,3,16
311,1599,30,6,9
320,701,8,2,2
324,1180,10,2,4
327,1238,8,2,2
342,704,18,6,5
342,712,6,2,3
342,792,44,7,18
342,845,6,2,2
342,1156,16,2,5
342,1599,56,4,12
342,1776,60,4,9
342,2064,12,5,2
342,2094,36,2,9
342,2106,12,4,2
342,2208,14,7,2
342,2390,24,11,2
342,2711,22,3,3
342,2733,26,8,4
342,2800,28,3,9
342,5434,18,2,6
342,5919,6,2,2
349,806,20,9,2
350,2747,14,2,5
360,1268,24,7,2
365,703,12,2,3
365,1718,20,2,5
365,2626,72,15,12
365,2884,38,2,12
366,861,34,7,4
368,2351,40,14,3
375,1163,36,3,12
377,923,78,5,9
377,2425,34,9,4
377,2552,6,3,3
380,829,8,4,2
380,2883,46,2,13
391,597,26,6,7
391,2389,14,5,2
405,649,64,2,16
420,1206,54,10,4
420,2295,18,4,3
430,713,26,4,4
431,1464,4,2,2
437,1136,14,6,2
439,2582,18,2,5
442,1286,10,3,2
442,2568,50,20,3
443,1002,116,5,24
450,688,4,2,2
455,825,18,5,2
458,747,106,8,9
465,2504,52,9,2
465,3094,14,3,4
471,487,8,3,2
479,2013,4,2,2
486,1572,16,4,3
503,1128,40,3,8
504,825,24,2,6
504,2414,58,5,22
512,2959,60,3,9
512,5870,96,4,21
519,2520,22,3,8
519,4209,18,2,5
543,1785,16,8,2
543,2341,26,11,4
548,2147,10,2,2
551,4836,32,2,8
551,4872,32,2,8
554,1808,16,3,7
577,1935,22,3,2
581,2547,24,2,5
582,864,34,10,3
597,3681,6,2,2
617,1787,10,2,4
648,2329,46,19,4
656,731,6,2,3
701,925,14,2,5
701,1099,8,2,2
701,1513,8,3,2
701,2568,32,11,3
705,977,22,5,3
713,915,28,9,2
720,827,22,6,2
732,1633,12,4,2
742,1218,10,3,2
743,1063,16,2,7
747,1205,24,8,4
764,1534,12,2,3
769,855,14,4,5
771,2782,22,2,6
786,2121,6,2,2
787,1807,12,2,3
792,1014,48,14,9
792,4479,12,2,3
801,2343,14,7,2
815,1295,24,9,2
818,2766,18,2,4
836,1014,36,8,8
838,2064,8,4,3
845,1048,68,16,9
845,1985,12,3,2
847,1424,24,7,2
864,1790,12,2,3
923,2425,18,8,2
925,1026,20,2,6
926,2124,6,2,2
928,1051,32,15,2
928,2630,18,2,7
932,1937,8,2,2
948,1110,26,2,13
951,966,14,5,3
951,1164,8,4,2
963,2414,56,15,2
969,1509,18,2,5
974,5598,24,2,6
984,1732,10,5,2
984,5905,50,2,13
1007,2089,22,9,3
1015,5033,10,2,3
1035,1362,6,2,2
1036,2454,18,4,6
1046,2389,16,2,6
1048,1542,20,7,4
1052,1550,10,3,2
1075,3160,30,2,13
1086,1411,12,6,2
1095,1652,8,2,4
1100,1259,6,2,3
1129,3855,12,2,5
1132,2803,16,2,4
1136,1603,22,5,2
1143,1195,32,6,6
1143,1989,14,2,4
1147,2683,26,9,4
1148,1238,4,2,2
1152,1972,12,2,3
1154,2310,24,2,6
1154,2466,32,11,2
1157,1609,16,4,2
1157,1992,22,4,7
1157,3092,32,2,6
